Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Michael Scott,2008,Chicago,California Institute of Technology,Mathematics,M.Sc,Software Engineering,History,Product Manager,Facebook,Energy,9,"React, Keras, C++","Blockchain, ML"
David Lee,2009,Los Angeles,"University of California, Berkeley",Mathematics,PhD,Software Engineering,History,Full Stack Developer,Google,Energy,20,"SQL, React, AWS","Blockchain, AI"
Jessica Walker,2008,Philadelphia,California Institute of Technology,Physics,BBA,Software Engineering,Political Science,Research Scientist,Apple,Government,6,"TensorFlow, CSS, Keras","AI, Robotics"
John Johnson,2008,San Jose,Stanford University,Physics,B.Sc,Software Engineering,Philosophy,Research Scientist,Intel,Government,20,"CSS, React, Java","Business Strategy, Robotics"
Linda Walker,2010,Los Angeles,Columbia University,Physics,B.Sc,Cybersecurity,Law,DevOps Engineer,Amazon,Automotive,9,"Python, CSS, C++","Data Science, Quantum Computing"
Emily Walker,2021,Chicago,Stanford University,Economics,M.Tech,Renewable Energy,Linguistics,Product Manager,IBM,Technology,2,"Python, Docker, TensorFlow","Renewable Energy, Business Strategy"
Alice Scott,2003,Philadelphia,Yale University,Chemistry,BBA,Robotics,Political Science,Marketing Manager,Adobe,Automotive,29,"HTML, Java, Kubernetes","Cybersecurity, IoT"
Bob Smith,2024,San Antonio,"University of California, Berkeley",Economics,M.Tech,Quantum Computing,Philosophy,DevOps Engineer,Facebook,Finance,15,"AWS, CSS, TensorFlow","IoT, AI"
Michael Brown,2009,Chicago,"University of California, Berkeley",Civil Engineering,B.Tech,Machine Learning,Political Science,DevOps Engineer,Intel,Retail,15,"JavaScript, Git, SQL","AI, Cybersecurity"
John Walker,2005,Houston,University of Pennsylvania,Electrical Engineering,PhD,Financial Engineering,Sociology,DevOps Engineer,Facebook,Energy,26,"React, Kubernetes, Python","Business Strategy, AI"
Robert Walker,2021,Dallas,California Institute of Technology,Electrical Engineering,B.Sc,Business Analytics,Art History,Data Scientist,Apple,Government,27,"Docker, JavaScript, Kubernetes","Robotics, Data Science"
Alice Clark,2004,Phoenix,University of Chicago,Chemistry,MBA,Cybersecurity,Political Science,Software Engineer,Intel,Healthcare,12,"HTML, Java, Django","Data Science, Renewable Energy"
Linda Smith,2021,San Diego,Harvard University,Business Administration,M.Tech,Quantum Computing,Linguistics,Business Analyst,IBM,Healthcare,7,"SQL, C++, Git","Cybersecurity, Robotics"
Sarah Lee,2005,New York,"University of California, Berkeley",Mechanical Engineering,M.Tech,Machine Learning,Political Science,Consultant,Google,Consulting,16,"Python, HTML, TensorFlow","Robotics, IoT"
John Smith,2003,San Jose,California Institute of Technology,Civil Engineering,M.Tech,Business Analytics,Statistics,Full Stack Developer,Google,Automotive,12,"Kubernetes, Python, Git","Business Strategy, AI"
Jessica Anderson,2019,San Antonio,University of Chicago,Biology,B.Tech,Renewable Energy,Environmental Science,Product Manager,Adobe,Healthcare,6,"HTML, React, Java","Quantum Computing, Blockchain"
Bob Lewis,2013,Chicago,"University of California, Berkeley",Physics,B.Sc,Machine Learning,Sociology,Marketing Manager,Google,Energy,18,"Django, Python, TensorFlow","Blockchain, Data Science"
Robert Scott,2000,Chicago,Yale University,Biology,B.Sc,Software Engineering,Philosophy,Data Scientist,Tesla,Retail,15,"Django, Keras, Python","ML, Robotics"
Bob Scott,2016,Chicago,Stanford University,Mathematics,B.Sc,Business Analytics,Law,Product Manager,Adobe,Education,22,"Java, Django, Keras","AI, Cybersecurity"
Jessica Scott,2016,San Jose,"University of California, Berkeley",Physics,B.Tech,Software Engineering,Art History,Software Engineer,Adobe,Technology,10,"Docker, JavaScript, Kubernetes","Cybersecurity, AI"
Sarah Walker,2010,Chicago,Harvard University,Physics,M.Tech,Cybersecurity,Environmental Science,Operations Manager,Adobe,Consulting,19,"Docker, Kubernetes, Java","IoT, AI"
Robert Brown,2013,Chicago,MIT,Economics,BBA,Renewable Energy,Political Science,Operations Manager,Google,Consulting,23,"AWS, SQL, Git","ML, Robotics"
Michael Smith,2022,San Antonio,University of Pennsylvania,Biology,PhD,Software Engineering,Linguistics,Business Analyst,IBM,Telecommunications,6,"JavaScript, React, TensorFlow","ML, Blockchain"
David Lee,2016,Phoenix,University of Chicago,Biology,B.Tech,Software Engineering,Sociology,Business Analyst,Adobe,Finance,6,"HTML, Kubernetes, C++","IoT, Renewable Energy"
Robert Clark,2016,San Diego,Yale University,Mathematics,B.Tech,Cybersecurity,History,Full Stack Developer,Facebook,Energy,16,"React, CSS, Keras","Data Science, Business Strategy"
Sarah Taylor,2016,San Jose,California Institute of Technology,Business Administration,B.Sc,Renewable Energy,History,Product Manager,Google,Healthcare,16,"Git, AWS, Django","Renewable Energy, Blockchain"
Robert Taylor,2014,San Antonio,California Institute of Technology,Business Administration,B.Sc,Robotics,Art History,DevOps Engineer,Intel,Retail,7,"JavaScript, TensorFlow, CSS","IoT, Renewable Energy"
Jessica Lewis,2005,Dallas,Yale University,Business Administration,PhD,Business Analytics,History,Full Stack Developer,Microsoft,Technology,13,"React, CSS, HTML","Data Science, AI"
Jessica Clark,2000,Dallas,Columbia University,Business Administration,BBA,Business Analytics,Linguistics,Consultant,Facebook,Telecommunications,9,"CSS, TensorFlow, Kubernetes","Cybersecurity, Blockchain"
Sarah Smith,2000,Los Angeles,Harvard University,Civil Engineering,M.Sc,Machine Learning,Political Science,Marketing Manager,Microsoft,Education,28,"JavaScript, CSS, Docker","Blockchain, ML"
Robert Lewis,2009,San Antonio,Princeton University,Chemistry,M.Tech,Renewable Energy,History,Product Manager,Facebook,Automotive,22,"Django, Docker, SQL","Renewable Energy, Business Strategy"
Bob Brown,2006,Dallas,MIT,Physics,B.Sc,Cybersecurity,Art History,Marketing Manager,Microsoft,Healthcare,20,"SQL, C++, Keras","AI, Data Science"
Michael Lewis,2006,San Jose,University of Chicago,Economics,B.Tech,Quantum Computing,Environmental Science,Data Scientist,Netflix,Automotive,25,"Git, TensorFlow, HTML","Blockchain, IoT"
Linda Johnson,2021,San Jose,MIT,Electrical Engineering,M.Sc,Robotics,Psychology,Software Engineer,Intel,Finance,16,"SQL, Git, Keras","Quantum Computing, Renewable Energy"
John Anderson,2020,Los Angeles,MIT,Chemistry,M.Sc,Renewable Energy,Sociology,Product Manager,Google,Energy,28,"TensorFlow, AWS, SQL","IoT, Data Science"
Robert Lewis,2021,Phoenix,Yale University,Chemistry,M.Tech,Financial Engineering,Philosophy,Data Scientist,Adobe,Retail,7,"HTML, TensorFlow, CSS","ML, Cybersecurity"
Linda Lewis,2004,Philadelphia,University of Chicago,Mechanical Engineering,MBA,Business Analytics,Psychology,Business Analyst,Google,Energy,17,"Django, Kubernetes, C++","ML, Cybersecurity"
Linda Clark,2001,Los Angeles,Harvard University,Computer Science,B.Tech,Machine Learning,Linguistics,Product Manager,Intel,Healthcare,11,"Java, HTML, CSS","Renewable Energy, Business Strategy"
Linda Lee,2005,Chicago,University of Pennsylvania,Economics,MBA,Artificial Intelligence,Psychology,Business Analyst,Tesla,Telecommunications,1,"C++, React, Git","Data Science, Robotics"
Bob Anderson,2014,Phoenix,California Institute of Technology,Economics,PhD,Artificial Intelligence,Environmental Science,Consultant,Tesla,Automotive,14,"Django, JavaScript, CSS","AI, Business Strategy"
Alice Brown,2022,Philadelphia,Harvard University,Physics,M.Sc,Renewable Energy,Linguistics,Business Analyst,Tesla,Consulting,9,"Python, Docker, Git","ML, Business Strategy"
Robert Taylor,2023,Phoenix,"University of California, Berkeley",Computer Science,B.Sc,Data Science,Statistics,Business Analyst,Adobe,Telecommunications,13,"Python, Java, AWS","Data Science, ML"
Michael Lee,2016,Phoenix,MIT,Chemistry,B.Sc,Renewable Energy,Psychology,Research Scientist,Microsoft,Technology,22,"AWS, Keras, React","AI, Cybersecurity"
Emily Lee,2013,Dallas,Columbia University,Economics,B.Sc,Quantum Computing,Art History,Software Engineer,Intel,Consulting,18,"Keras, TensorFlow, Kubernetes","Blockchain, Robotics"
Jessica Brown,2011,Houston,Princeton University,Physics,BBA,Machine Learning,Art History,Data Scientist,Facebook,Education,13,"TensorFlow, CSS, JavaScript","Quantum Computing, Blockchain"
Sarah Johnson,2018,Phoenix,University of Chicago,Business Administration,M.Tech,Renewable Energy,Law,Research Scientist,Microsoft,Healthcare,9,"Python, JavaScript, HTML","Quantum Computing, Cybersecurity"
Robert Scott,2005,San Antonio,Yale University,Biology,BBA,Robotics,Environmental Science,Software Engineer,Intel,Education,28,"TensorFlow, Java, React","Renewable Energy, Quantum Computing"
Michael Lee,2010,Los Angeles,Yale University,Chemistry,M.Sc,Robotics,Linguistics,Operations Manager,Microsoft,Government,14,"React, Java, TensorFlow","Robotics, AI"
Michael Johnson,2024,Chicago,University of Pennsylvania,Chemistry,BBA,Cybersecurity,Psychology,DevOps Engineer,Apple,Education,8,"Python, Docker, AWS","Quantum Computing, IoT"
Sarah Anderson,2022,Dallas,Columbia University,Computer Science,MBA,Machine Learning,History,Consultant,Microsoft,Retail,26,"Python, Keras, Git","Cybersecurity, Blockchain"
Bob Smith,2006,San Jose,Yale University,Mechanical Engineering,BBA,Quantum Computing,History,DevOps Engineer,Netflix,Education,16,"Java, Django, JavaScript","Renewable Energy, Robotics"
Sarah Anderson,2010,Los Angeles,MIT,Civil Engineering,B.Sc,Artificial Intelligence,History,Business Analyst,Facebook,Energy,23,"SQL, Docker, JavaScript","Business Strategy, IoT"
John Lee,2000,Chicago,Yale University,Electrical Engineering,M.Tech,Business Analytics,Political Science,Research Scientist,Microsoft,Technology,11,"Java, React, JavaScript","AI, Data Science"
Jessica Smith,2006,Houston,Yale University,Chemistry,M.Tech,Financial Engineering,Law,Research Scientist,IBM,Consulting,6,"Keras, Python, SQL","AI, Data Science"
Robert Lee,2005,Phoenix,California Institute of Technology,Chemistry,MBA,Machine Learning,Statistics,Software Engineer,Facebook,Retail,18,"Kubernetes, Docker, React","IoT, Quantum Computing"
John Brown,2022,San Antonio,Harvard University,Mathematics,M.Tech,Data Science,Law,Operations Manager,Facebook,Healthcare,3,"Docker, HTML, CSS","AI, Renewable Energy"
Emily Lee,2018,Los Angeles,University of Pennsylvania,Electrical Engineering,PhD,Artificial Intelligence,Linguistics,Research Scientist,Microsoft,Technology,21,"Java, Django, JavaScript","Blockchain, Renewable Energy"
Emily Lewis,2010,Dallas,MIT,Biology,BBA,Cybersecurity,Art History,Data Scientist,IBM,Consulting,12,"Docker, Java, HTML","Robotics, AI"
Bob Lewis,2023,Houston,Yale University,Physics,PhD,Machine Learning,Law,Marketing Manager,Microsoft,Finance,14,"JavaScript, TensorFlow, Kubernetes","AI, Renewable Energy"
Robert Taylor,2016,San Jose,Yale University,Mechanical Engineering,MBA,Business Analytics,Philosophy,Software Engineer,Microsoft,Energy,3,"Git, CSS, JavaScript","Cybersecurity, ML"
Michael Clark,2009,San Antonio,Princeton University,Biology,BBA,Financial Engineering,Environmental Science,Operations Manager,Microsoft,Government,19,"React, SQL, Keras","IoT, Quantum Computing"
Alice Scott,2023,Chicago,Princeton University,Chemistry,M.Sc,Financial Engineering,Sociology,Data Scientist,Facebook,Telecommunications,26,"JavaScript, Django, React","IoT, Blockchain"
Robert Anderson,2016,Chicago,Stanford University,Computer Science,B.Tech,Software Engineering,Philosophy,Operations Manager,Netflix,Consulting,18,"Java, Keras, HTML","ML, Data Science"
Michael Johnson,2001,San Jose,University of Chicago,Mechanical Engineering,M.Sc,Artificial Intelligence,Statistics,Data Scientist,IBM,Finance,9,"TensorFlow, Kubernetes, CSS","Blockchain, Business Strategy"
Alice Smith,2024,Dallas,Harvard University,Chemistry,PhD,Robotics,Environmental Science,Product Manager,Apple,Government,15,"Keras, Python, React","Blockchain, Robotics"
Michael Brown,2016,San Diego,Columbia University,Biology,MBA,Financial Engineering,History,Software Engineer,Adobe,Finance,29,"Keras, TensorFlow, Docker","Robotics, Renewable Energy"
John Anderson,2002,Los Angeles,Harvard University,Mathematics,M.Sc,Robotics,Philosophy,Product Manager,Apple,Education,9,"Git, SQL, C++","AI, Cybersecurity"
David Lee,2007,New York,California Institute of Technology,Biology,B.Sc,Business Analytics,Law,Operations Manager,Microsoft,Telecommunications,23,"Keras, CSS, Django","Business Strategy, Blockchain"
Sarah Smith,2002,New York,Yale University,Computer Science,MBA,Data Science,Law,Business Analyst,Facebook,Healthcare,13,"TensorFlow, Java, JavaScript","Cybersecurity, IoT"
Alice Scott,2003,Phoenix,University of Pennsylvania,Electrical Engineering,M.Sc,Business Analytics,Sociology,Product Manager,Apple,Retail,26,"Django, AWS, Docker","Robotics, Blockchain"
Michael Lee,2007,San Jose,Yale University,Electrical Engineering,B.Sc,Quantum Computing,Statistics,DevOps Engineer,Facebook,Technology,28,"AWS, Git, C++","Business Strategy, Data Science"
David Taylor,2013,Los Angeles,University of Pennsylvania,Business Administration,B.Sc,Robotics,Psychology,Operations Manager,IBM,Government,5,"CSS, Django, AWS","Robotics, Quantum Computing"
Robert Brown,2004,Philadelphia,California Institute of Technology,Economics,M.Tech,Machine Learning,Linguistics,DevOps Engineer,Apple,Consulting,12,"React, Keras, Django","IoT, Blockchain"
Bob Scott,2011,San Antonio,"University of California, Berkeley",Computer Science,M.Sc,Quantum Computing,History,Business Analyst,Tesla,Technology,28,"Django, React, C++","Renewable Energy, Business Strategy"
Sarah Clark,2002,San Jose,"University of California, Berkeley",Business Administration,MBA,Financial Engineering,Art History,Marketing Manager,Apple,Finance,18,"HTML, JavaScript, Docker","Robotics, Cybersecurity"
Alice Taylor,2005,Chicago,"University of California, Berkeley",Economics,M.Sc,Software Engineering,Political Science,Product Manager,Facebook,Healthcare,3,"Git, Keras, C++","Cybersecurity, Renewable Energy"
David Clark,2017,Houston,University of Pennsylvania,Physics,M.Tech,Artificial Intelligence,Political Science,Full Stack Developer,Amazon,Energy,13,"Python, Keras, HTML","AI, Robotics"
Michael Lewis,2024,Los Angeles,MIT,Mathematics,M.Sc,Robotics,Statistics,Data Scientist,Tesla,Government,9,"Django, C++, Docker","Cybersecurity, Blockchain"
Sarah Anderson,2014,San Jose,California Institute of Technology,Chemistry,M.Tech,Financial Engineering,Philosophy,Software Engineer,IBM,Government,15,"Python, SQL, Docker","Data Science, IoT"
Alice Johnson,2001,Philadelphia,MIT,Mathematics,MBA,Machine Learning,Art History,Data Scientist,IBM,Telecommunications,21,"JavaScript, React, Kubernetes","ML, Renewable Energy"
Michael Lee,2024,Phoenix,Princeton University,Business Administration,M.Sc,Financial Engineering,Environmental Science,Marketing Manager,IBM,Healthcare,10,"TensorFlow, C++, Django","Quantum Computing, Business Strategy"
John Smith,2014,San Jose,University of Chicago,Mechanical Engineering,M.Sc,Data Science,Sociology,Full Stack Developer,Facebook,Technology,10,"Java, HTML, Django","IoT, Quantum Computing"
Linda Walker,2018,San Jose,California Institute of Technology,Physics,M.Sc,Robotics,Art History,Business Analyst,Google,Healthcare,19,"Git, CSS, SQL","Renewable Energy, IoT"
John Anderson,2024,Chicago,University of Chicago,Business Administration,PhD,Robotics,Philosophy,Research Scientist,Intel,Technology,26,"AWS, Kubernetes, JavaScript","Robotics, Quantum Computing"
Sarah Scott,2015,Houston,Yale University,Mechanical Engineering,BBA,Data Science,Art History,Data Scientist,Tesla,Government,9,"Django, TensorFlow, AWS","IoT, Quantum Computing"
David Lewis,2018,Chicago,Harvard University,Mathematics,BBA,Software Engineering,Sociology,Product Manager,Tesla,Government,14,"CSS, Keras, SQL","AI, Quantum Computing"
Alice Johnson,2023,Chicago,University of Pennsylvania,Electrical Engineering,B.Tech,Business Analytics,Law,Data Scientist,IBM,Finance,17,"AWS, Docker, Python","AI, Business Strategy"
Robert Lewis,2012,San Diego,University of Chicago,Biology,M.Tech,Quantum Computing,Environmental Science,Product Manager,Amazon,Energy,21,"Python, C++, Kubernetes","ML, AI"
Jessica Scott,2004,Los Angeles,Columbia University,Computer Science,MBA,Robotics,History,Marketing Manager,Microsoft,Technology,21,"React, Docker, Git","Robotics, ML"
Michael Smith,2005,Dallas,University of Pennsylvania,Chemistry,MBA,Robotics,History,Operations Manager,Google,Consulting,8,"TensorFlow, Python, Java","Renewable Energy, Business Strategy"
Alice Lee,2006,Dallas,Yale University,Economics,M.Tech,Machine Learning,Psychology,Software Engineer,Microsoft,Energy,11,"Java, Docker, C++","AI, ML"
David Walker,2015,San Jose,California Institute of Technology,Computer Science,B.Sc,Machine Learning,Statistics,Product Manager,Amazon,Retail,5,"Git, Docker, SQL","Business Strategy, AI"
Bob Smith,2005,San Jose,Princeton University,Physics,MBA,Data Science,Sociology,Full Stack Developer,Microsoft,Education,21,"C++, SQL, Java","ML, Blockchain"
John Clark,2007,New York,Yale University,Business Administration,PhD,Artificial Intelligence,Law,Consultant,Adobe,Retail,14,"Git, Python, Java","ML, Renewable Energy"
Jessica Clark,2004,Chicago,California Institute of Technology,Biology,M.Tech,Business Analytics,Art History,Full Stack Developer,Apple,Education,14,"Kubernetes, TensorFlow, C++","Data Science, AI"
Sarah Anderson,2016,Philadelphia,Stanford University,Civil Engineering,M.Sc,Business Analytics,Environmental Science,Marketing Manager,Adobe,Education,9,"HTML, Django, CSS","Blockchain, ML"
John Johnson,2017,San Antonio,Yale University,Chemistry,M.Sc,Data Science,History,Marketing Manager,Google,Education,23,"AWS, Java, Git","Robotics, Cybersecurity"
Sarah Anderson,2000,Chicago,"University of California, Berkeley",Civil Engineering,B.Sc,Artificial Intelligence,Law,Marketing Manager,Intel,Healthcare,8,"Python, TensorFlow, CSS","IoT, ML"
Sarah Brown,2016,Chicago,MIT,Computer Science,M.Sc,Software Engineering,Sociology,Operations Manager,Adobe,Automotive,16,"JavaScript, SQL, CSS","Robotics, AI"
Emily Clark,2016,Dallas,Princeton University,Mathematics,B.Tech,Software Engineering,Political Science,Operations Manager,Adobe,Government,17,"SQL, Kubernetes, CSS","Robotics, ML"
Bob Brown,2009,San Jose,Stanford University,Computer Science,BBA,Business Analytics,Statistics,Business Analyst,Tesla,Technology,30,"CSS, HTML, TensorFlow","Blockchain, Business Strategy"
David Smith,2018,San Antonio,Columbia University,Civil Engineering,B.Sc,Machine Learning,Statistics,Data Scientist,Amazon,Consulting,1,"HTML, TensorFlow, AWS","Cybersecurity, ML"
Linda Anderson,2009,Houston,Harvard University,Physics,B.Sc,Quantum Computing,Sociology,DevOps Engineer,Netflix,Telecommunications,17,"Java, C++, React","Renewable Energy, Robotics"
Robert Lee,2007,San Diego,MIT,Electrical Engineering,B.Tech,Quantum Computing,Sociology,Product Manager,Tesla,Technology,7,"Keras, CSS, Kubernetes","IoT, Cybersecurity"
Bob Clark,2024,San Jose,Stanford University,Computer Science,M.Sc,Robotics,Political Science,Consultant,Adobe,Telecommunications,3,"JavaScript, Keras, Docker","Cybersecurity, Blockchain"
Sarah Smith,2020,San Jose,Yale University,Computer Science,PhD,Financial Engineering,Environmental Science,Full Stack Developer,Adobe,Government,11,"React, Kubernetes, AWS","Quantum Computing, Business Strategy"
Jessica Lewis,2006,San Antonio,Columbia University,Computer Science,B.Sc,Software Engineering,Philosophy,Full Stack Developer,Intel,Finance,2,"Docker, HTML, React","Data Science, Cybersecurity"
John Taylor,2021,Dallas,University of Pennsylvania,Mechanical Engineering,BBA,Financial Engineering,Political Science,Research Scientist,Tesla,Government,12,"Java, Kubernetes, TensorFlow","ML, Data Science"
David Johnson,2019,Houston,MIT,Computer Science,M.Sc,Cybersecurity,Philosophy,Software Engineer,Google,Telecommunications,18,"HTML, JavaScript, AWS","Data Science, Renewable Energy"
Bob Lee,2009,New York,Yale University,Economics,MBA,Machine Learning,Sociology,Full Stack Developer,Netflix,Retail,17,"Keras, React, AWS","AI, Cybersecurity"
Linda Taylor,2020,New York,University of Pennsylvania,Civil Engineering,MBA,Renewable Energy,Environmental Science,Software Engineer,Intel,Consulting,19,"Django, Python, Keras","Data Science, AI"
Emily Clark,2003,Philadelphia,University of Pennsylvania,Economics,PhD,Cybersecurity,Statistics,Product Manager,Microsoft,Energy,15,"JavaScript, Kubernetes, AWS","Business Strategy, Blockchain"
Sarah Smith,2002,Houston,MIT,Business Administration,BBA,Financial Engineering,Art History,Business Analyst,Facebook,Technology,23,"TensorFlow, React, Keras","Renewable Energy, Business Strategy"
Emily Brown,2014,San Antonio,Stanford University,Mathematics,PhD,Artificial Intelligence,Linguistics,Data Scientist,Amazon,Energy,2,"Keras, Docker, HTML","IoT, Robotics"
Emily Brown,2018,San Jose,"University of California, Berkeley",Mathematics,BBA,Data Science,Sociology,Operations Manager,Adobe,Consulting,23,"Keras, AWS, Docker","Business Strategy, Blockchain"
Alice Scott,2004,Los Angeles,Columbia University,Chemistry,M.Sc,Robotics,Environmental Science,Business Analyst,Amazon,Finance,21,"Docker, SQL, JavaScript","Cybersecurity, AI"
Michael Johnson,2007,San Jose,Columbia University,Biology,PhD,Cybersecurity,Philosophy,Full Stack Developer,IBM,Finance,16,"SQL, Django, Keras","Business Strategy, Data Science"
Jessica Brown,2005,San Jose,California Institute of Technology,Mathematics,M.Sc,Artificial Intelligence,History,Consultant,Netflix,Education,10,"Java, Kubernetes, C++","Business Strategy, IoT"
Linda Anderson,2000,Houston,Stanford University,Biology,B.Sc,Data Science,Linguistics,Full Stack Developer,Amazon,Retail,27,"SQL, Django, Python","Blockchain, ML"
Emily Scott,2002,San Jose,California Institute of Technology,Computer Science,BBA,Cybersecurity,Philosophy,Consultant,Tesla,Finance,10,"HTML, Keras, Python","ML, Robotics"
John Clark,2014,Dallas,Princeton University,Economics,B.Tech,Renewable Energy,Linguistics,Full Stack Developer,Facebook,Education,7,"CSS, React, Python","Renewable Energy, Cybersecurity"
Michael Lewis,2017,Phoenix,Princeton University,Biology,M.Sc,Data Science,Environmental Science,Data Scientist,Intel,Healthcare,26,"Django, Java, React","Business Strategy, Robotics"
Alice Smith,2011,Dallas,"University of California, Berkeley",Physics,B.Tech,Business Analytics,Law,DevOps Engineer,Intel,Telecommunications,28,"AWS, JavaScript, React","AI, IoT"
Alice Walker,2008,San Jose,Yale University,Business Administration,M.Sc,Artificial Intelligence,Philosophy,Research Scientist,Netflix,Government,9,"Django, Python, Keras","Robotics, ML"
Robert Taylor,2012,Houston,Yale University,Chemistry,M.Tech,Cybersecurity,Philosophy,Product Manager,Facebook,Telecommunications,15,"Python, React, AWS","IoT, ML"
David Brown,2000,Los Angeles,Columbia University,Mathematics,PhD,Business Analytics,Philosophy,Software Engineer,Amazon,Telecommunications,12,"CSS, Git, Django","Renewable Energy, ML"
Linda Walker,2000,Los Angeles,University of Chicago,Economics,M.Sc,Business Analytics,Statistics,Product Manager,Google,Retail,29,"JavaScript, React, Docker","Data Science, Cybersecurity"
David Clark,2009,San Diego,Princeton University,Mathematics,PhD,Data Science,Linguistics,Operations Manager,IBM,Telecommunications,25,"Python, Keras, Kubernetes","Quantum Computing, Cybersecurity"
Michael Lee,2014,Los Angeles,"University of California, Berkeley",Mechanical Engineering,BBA,Financial Engineering,Psychology,Software Engineer,Google,Telecommunications,16,"CSS, TensorFlow, AWS","Blockchain, Robotics"
David Taylor,2014,Philadelphia,Princeton University,Computer Science,MBA,Data Science,Art History,Business Analyst,Tesla,Technology,27,"CSS, Java, Docker","IoT, Business Strategy"
Alice Scott,2008,New York,California Institute of Technology,Mathematics,B.Tech,Machine Learning,Environmental Science,DevOps Engineer,Amazon,Automotive,12,"Kubernetes, C++, HTML","Cybersecurity, Business Strategy"
John Lee,2021,San Antonio,"University of California, Berkeley",Physics,M.Sc,Data Science,Political Science,Business Analyst,Intel,Government,8,"C++, React, Kubernetes","Quantum Computing, AI"
Robert Walker,2002,Houston,University of Chicago,Chemistry,M.Tech,Business Analytics,Linguistics,Full Stack Developer,Intel,Energy,4,"Python, Django, CSS","Data Science, Quantum Computing"
John Clark,2020,San Diego,Stanford University,Mechanical Engineering,B.Sc,Renewable Energy,Art History,Business Analyst,Netflix,Finance,18,"Kubernetes, HTML, SQL","AI, Blockchain"
Jessica Taylor,2005,New York,Stanford University,Economics,B.Sc,Robotics,Art History,Marketing Manager,Facebook,Education,30,"React, Java, AWS","Cybersecurity, Renewable Energy"
Bob Clark,2012,Chicago,Yale University,Mechanical Engineering,M.Sc,Machine Learning,Political Science,Marketing Manager,IBM,Finance,1,"Docker, HTML, C++","Robotics, Renewable Energy"
Robert Scott,2024,Los Angeles,Yale University,Mathematics,B.Tech,Financial Engineering,Sociology,Consultant,Intel,Automotive,15,"TensorFlow, Keras, JavaScript","Cybersecurity, IoT"
Bob Walker,2010,Los Angeles,Columbia University,Mathematics,B.Tech,Artificial Intelligence,Linguistics,Marketing Manager,Intel,Telecommunications,13,"Kubernetes, Django, CSS","Business Strategy, IoT"
Bob Anderson,2024,New York,Harvard University,Business Administration,BBA,Machine Learning,Law,DevOps Engineer,Amazon,Education,20,"Java, Keras, JavaScript","IoT, Blockchain"
David Walker,2020,Houston,Stanford University,Chemistry,BBA,Renewable Energy,History,DevOps Engineer,Intel,Finance,10,"Django, React, C++","Data Science, Cybersecurity"
John Clark,2013,Los Angeles,University of Chicago,Computer Science,PhD,Renewable Energy,Art History,Full Stack Developer,IBM,Energy,11,"Keras, Docker, CSS","Business Strategy, ML"
John Anderson,2005,Los Angeles,California Institute of Technology,Business Administration,MBA,Software Engineering,Philosophy,Software Engineer,Adobe,Telecommunications,28,"TensorFlow, Python, AWS","AI, Business Strategy"
Robert Brown,2014,Philadelphia,Harvard University,Mechanical Engineering,BBA,Business Analytics,Linguistics,Business Analyst,IBM,Telecommunications,26,"Java, C++, HTML","Cybersecurity, Data Science"
Sarah Walker,2004,Dallas,MIT,Business Administration,BBA,Financial Engineering,Philosophy,DevOps Engineer,Google,Government,7,"C++, CSS, Docker","Blockchain, AI"
Jessica Scott,2006,Phoenix,"University of California, Berkeley",Mathematics,B.Sc,Quantum Computing,History,Full Stack Developer,Netflix,Government,23,"Docker, TensorFlow, React","Robotics, Data Science"
Jessica Walker,2019,Philadelphia,Yale University,Biology,M.Tech,Robotics,Statistics,Research Scientist,Amazon,Automotive,5,"Kubernetes, React, Python","Renewable Energy, Quantum Computing"
Linda Clark,2023,San Antonio,Yale University,Civil Engineering,M.Tech,Software Engineering,Psychology,Consultant,Tesla,Energy,15,"HTML, Git, C++","Quantum Computing, Business Strategy"
Linda Smith,2014,Houston,Princeton University,Electrical Engineering,BBA,Artificial Intelligence,Linguistics,Consultant,Amazon,Healthcare,30,"HTML, CSS, JavaScript","Renewable Energy, Quantum Computing"
John Lewis,2024,San Jose,University of Chicago,Biology,M.Sc,Financial Engineering,Linguistics,Data Scientist,Tesla,Consulting,21,"Docker, C++, Keras","IoT, Cybersecurity"
Robert Lewis,2008,San Jose,University of Chicago,Mathematics,BBA,Business Analytics,Sociology,DevOps Engineer,Apple,Automotive,1,"Kubernetes, Docker, React","Robotics, Cybersecurity"
Linda Scott,2006,San Antonio,Princeton University,Economics,MBA,Cybersecurity,Sociology,Business Analyst,IBM,Healthcare,23,"C++, CSS, Docker","Robotics, Data Science"
John Anderson,2017,Phoenix,University of Chicago,Electrical Engineering,M.Tech,Renewable Energy,Linguistics,Full Stack Developer,IBM,Education,22,"HTML, AWS, CSS","Cybersecurity, Renewable Energy"
Jessica Johnson,2023,San Antonio,"University of California, Berkeley",Mechanical Engineering,M.Sc,Renewable Energy,Statistics,Research Scientist,IBM,Telecommunications,16,"CSS, JavaScript, AWS","Renewable Energy, Cybersecurity"
John Lee,2019,New York,"University of California, Berkeley",Electrical Engineering,B.Sc,Quantum Computing,Political Science,Data Scientist,Amazon,Technology,22,"JavaScript, AWS, TensorFlow","ML, AI"
Jessica Taylor,2009,San Diego,University of Chicago,Economics,MBA,Financial Engineering,Law,Research Scientist,Apple,Automotive,16,"Java, HTML, JavaScript","Renewable Energy, AI"
